,impression_uuid,tag
213,00000000-0000-0001-6269-676069321844,fclick
215,00000000-0000-0001-6269-678851921292,fclick
216,00000000-0000-0001-6269-680995411346,fclick
221,00000000-0000-0001-6269-693637221618,fclick
223,00000000-0000-0001-6269-696070741672,fclick
224,00000000-0000-0001-6269-699168631298,fclick
226,00000000-0000-0001-6269-700327951735,fclick
227,00000000-0000-0001-6269-700327951735,registration
228,00000000-0000-0001-6269-706705431929,fclick
230,00000000-0000-0001-6269-578845111500,vregistration
232,00000000-0000-0001-6269-533956891319,vregistration
234,00000000-0000-0001-6269-711955331811,fclick
236,00000000-0000-0001-6269-712235821715,fclick
237,00000000-0000-0001-6269-712617521519,vregistration
238,00000000-0000-0001-6269-651043771847,vregistration
239,00000000-0000-0001-6269-449116801672,vregistration
241,00000000-0000-0001-6269-681384881665,vcontent
242,00000000-0000-0001-6269-725427911060,fclick
245,00000000-0000-0001-6269-728114091454,fclick
246,00000000-0000-0001-6269-728422351643,fclick
249,00000000-0000-0001-6269-530169081808,vregistration
250,00000000-0000-0001-6269-627150521334,vsignup
251,00000000-0000-0001-6269-627150521334,vcontent
252,00000000-0000-0001-6269-499544591504,vregistration
253,00000000-0000-0001-6269-432647021226,vregistration
254,00000000-0000-0001-6269-467713281587,vregistration
255,00000000-0000-0001-6269-525120681742,vcontent
256,00000000-0000-0001-6269-558531691837,vregistration
257,00000000-0000-0001-6269-473864851829,vregistration
258,00000000-0000-0001-6269-742175081346,fclick
260,00000000-0000-0001-6269-742327181695,fclick
261,00000000-0000-0001-6269-742659321556,fclick
262,00000000-0000-0001-6269-744635351493,fclick
263,00000000-0000-0001-6269-744635351493,registration
265,00000000-0000-0001-6269-744413831895,fclick
266,00000000-0000-0001-6269-694787891540,vregistration
267,00000000-0000-0001-6269-240223831873,vregistration
268,00000000-0000-0001-6269-721917831098,vregistration
272,00000000-0000-0001-6269-515966931798,vregistration
273,00000000-0000-0001-6269-562595021707,vregistration
276,00000000-0000-0001-6269-704868931197,vmisc
280,00000000-0000-0001-6269-539360671812,vregistration
284,00000000-0000-0001-6269-711468971221,vregistration
287,00000000-0000-0001-6269-782944301740,fclick
289,00000000-0000-0001-6268-961227431474,vregistration
290,00000000-0000-0001-6269-716102761194,vregistration
291,00000000-0000-0001-6269-519543791420,vregistration
292,00000000-0000-0001-6269-758689971483,vregistration
293,00000000-0000-0001-6269-520822911711,vregistration
294,00000000-0000-0001-6269-818566081354,fclick
296,00000000-0000-0001-6269-656258741604,vregistration
297,00000000-0000-0001-6269-319409581873,vregistration
298,00000000-0000-0001-6269-642290491682,vlead
299,00000000-0000-0001-6269-664862941621,vregistration
300,00000000-0000-0001-6269-492806771426,vregistration
301,00000000-0000-0001-6269-555504871988,vregistration
302,00000000-0000-0001-6269-492806771426,vsignup
303,00000000-0000-0001-6269-832230661325,fclick
304,00000000-0000-0001-6269-455633151024,vregistration
305,00000000-0000-0001-6269-709729231368,vregistration
306,00000000-0000-0001-6269-661645531269,vregistration
307,00000000-0000-0001-6268-962700431487,vregistration
309,00000000-0000-0001-6268-981929831687,vregistration
311,00000000-0000-0001-6269-850354141974,fclick
314,00000000-0000-0001-6269-756017331251,vregistration
315,00000000-0000-0001-6269-695927381642,vregistration
316,00000000-0000-0001-6269-712655591583,vregistration
317,00000000-0000-0001-6269-859212201171,fclick
319,00000000-0000-0001-6269-861298601218,fclick
320,00000000-0000-0001-6269-818994081374,vregistration
321,00000000-0000-0001-6269-464148041966,vregistration
325,00000000-0000-0001-6269-747356971005,vregistration
326,00000000-0000-0001-6269-789508151535,vregistration
327,00000000-0000-0001-6269-492376261696,vregistration
328,00000000-0000-0001-6268-869788451455,registration
330,00000000-0000-0001-6269-871179191042,fclick
332,00000000-0000-0001-6269-472819151631,vsignup
333,00000000-0000-0001-6269-876034461235,fclick
335,00000000-0000-0001-6269-501384481846,vregistration
336,00000000-0000-0001-6269-882239421508,fclick
337,00000000-0000-0001-6269-496315361040,vregistration
338,00000000-0000-0001-6269-839821631852,vregistration
339,00000000-0000-0001-6269-615226841639,vregistration
340,00000000-0000-0001-6269-885780511315,fclick
342,00000000-0000-0001-6269-852851191106,vregistration
343,00000000-0000-0001-6269-574546131496,vregistration
344,00000000-0000-0001-6269-550453041546,vregistration
346,00000000-0000-0001-6269-904762001966,fclick
348,00000000-0000-0001-6269-909644731409,vregistration
349,00000000-0000-0001-6269-832152621828,vregistration
350,00000000-0000-0001-6269-570132201474,vregistration
351,00000000-0000-0001-6269-919201211086,fclick
353,00000000-0000-0001-6269-919853841960,fclick
356,00000000-0000-0001-6269-522737251024,vregistration
357,00000000-0000-0001-6269-850708581184,vregistration
361,00000000-0000-0001-6269-928098191316,fclick
363,00000000-0000-0001-6269-928102541212,fclick
365,00000000-0000-0001-6269-433110571509,vregistration
366,00000000-0000-0001-6269-602020141139,vregistration
367,00000000-0000-0001-6269-514446191122,vregistration
369,00000000-0000-0001-6269-714386591169,vregistration
370,00000000-0000-0001-6269-680129201373,vregistration
371,00000000-0000-0001-6269-518176931639,vregistration
374,00000000-0000-0001-6269-568852191478,vregistration
375,00000000-0000-0001-6269-961669901085,vregistration
376,00000000-0000-0001-6269-928704591516,vregistration
377,00000000-0000-0001-6269-500284141246,vregistration
378,00000000-0000-0001-6269-010836521850,vregistration
380,00000000-0000-0001-6269-549042351598,vsignup
383,00000000-0000-0001-6269-824480811227,vregistration
385,00000000-0000-0001-6269-766832481690,vregistration
386,00000000-0000-0001-6269-560989941137,vregistration
387,00000000-0000-0001-6269-560989941137,vmisc
388,00000000-0000-0001-6269-580093611674,vregistration
389,00000000-0000-0001-6269-993891471058,fclick
391,00000000-0000-0001-6269-995807741126,fclick
393,00000000-0000-0001-6269-996243701525,fclick
395,00000000-0000-0001-6269-997446801850,fclick
399,00000000-0000-0001-6269-647903161444,vregistration
400,00000000-0000-0001-6269-523806431627,vregistration
402,00000000-0000-0001-6269-764602571701,vregistration
404,00000000-0000-0001-6269-659593961272,vregistration
406,00000000-0000-0001-6270-013626931783,fclick
410,00000000-0000-0001-6269-489752361327,vregistration
411,00000000-0000-0001-6269-638776971925,vregistration
412,00000000-0000-0001-6269-602364331765,vregistration
413,00000000-0000-0001-6269-596179461634,vregistration
414,00000000-0000-0001-6269-809664171053,vregistration
415,00000000-0000-0001-6269-436657261824,vregistration
416,00000000-0000-0001-6269-903279131879,vregistration
417,00000000-0000-0001-6270-025587091736,fclick
419,00000000-0000-0001-6269-472312321671,vregistration
422,00000000-0000-0001-6270-026823071934,fclick
424,00000000-0000-0001-6269-450793681908,vregistration
425,00000000-0000-0001-6270-028065981290,fclick
428,00000000-0000-0001-6269-833943341971,vregistration
429,00000000-0000-0001-6270-015290661753,vregistration
430,00000000-0000-0001-6269-732515861893,vregistration
432,00000000-0000-0001-6269-642501771993,vregistration
433,00000000-0000-0001-6270-038647901970,fclick
435,00000000-0000-0001-6270-038569171067,fclick
437,00000000-0000-0001-6270-039974631678,fclick
440,00000000-0000-0001-6269-991033531190,vregistration
441,00000000-0000-0001-6269-788599501388,vregistration
